"id";"name";"round";"sensor_id";"label_id";"farm_id";"labeled_by";"earmark_id";"collar_id";"age";"year_of_birth";"lactation";"age_of_first_fecundity";"interval_between_calvings";"has_horns";"has_nose_ring";"avg_lifetime_production";"avg_daily_lifetime_production";"last_calving";"planned_calving";"bcs";"bcs_measurement_date";"lameness_score";"lameness_score_measurement_date"
0;"Floxy";"HB3";22;2;"Hackl-Buch";"Lara Schmeling";"DE0952118803";46;4;2016;2;26.6;373;"no";"no";6688;5.9;"2019-11-09";"2020-11-03";3.5;"2020-10-08";0;"2020-10-08"
1;"Flixy";"HB3";1;1;"Hackl-Buch";"Lara Schmeling";"DE0952118802";45;4;2016;2;26.6;371;"no";"yes";6584;6;"2019-11-09";"2020-11-09";4;"2020-10-08";0;"2020-10-08"
2;"Miss";"HB3";11;11;"Hackl-Buch";"Lara Schmeling";"DE0949360016";10;7;2013;5;28.7;341;"no";"no";8669;15.2;"2019-12-28";"2020-11-16";4;"2020-10-08";0;"2020-10-08"
3;"Lilli";"HB3";12;12;"Hackl-Buch";"Lara Schmeling";"DE0946881498";387;8;2012;5;27.1;488;"no";"no";7981;15;"2019-02-21";"2020-12-19";4;"2020-10-08";0;"2020-10-08"
4;"Martha";"HB3";25;8;"Hackl-Buch";"Lara Schmeling";"DE0946881506";385;8;2012;5;25.6;353;"no";"no";10203;19.5;"2019-11-05";"2020-11-16";4;"2020-10-08";0;"2020-10-08"
5;"Miriam";"HB3";14;14;"Hackl-Buch";"Lara Schmeling";"DE0950963109";30;5;2015;3;24.4;373;"no";"no";8221;13.3;"2020-01-31";"";3.5;"2020-10-08";0;"2020-10-08"
6;"Lotta";"HB3";21;6;"Hackl-Buch";"Lara Schmeling";"DE0950963105";34;5;2015;3;26.6;291;"no";"no";7998;11.7;"2019-08-24";"2021-01-18";4;"2020-10-08";0;"2020-10-08"
7;"Flocke";"HB3";4;4;"Hackl-Buch";"Lara Schmeling";"DE0948192559";4;7;2013;5;25.3;473;"no";"no";7884;14.5;"2020-02-06";"2021-01-24";3.5;"2020-10-08";0;"2020-10-08"
8;"Ilonka";"HB3";9;9;"Hackl-Buch";"Lara Schmeling";"DE0952118817";52;4;2016;2;26.2;359;"no";"no";5930;6.8;"2019-12-14";"2020-11-11";4;"2020-10-08";0;"2020-10-08"
9;"Natasha";"HB3";7;7;"Hackl-Buch";"Lara Schmeling";"DE0949360034";17;6;2014;4;27.6;411;"no";"no";9259;14.7;"2019-08-24";"";3.5;"2020-10-08";0;"2020-10-08"
10;"Nobby";"HB3";5;5;"Hackl-Buch";"Lara Schmeling";"DE0952118805";50;7;2013;5;25.3;473;"no";"yes";9538;8.5;"2019-10-23";"2021-03-13";3;"2020-10-08";0;"2020-10-08"
11;"Loni";"HB3";13;13;"Hackl-Buch";"Lara Schmeling";"DE0949360045";19;6;2014;4;26.8;379;"no";"no";7672;12.3;"2019-10-27";"2020-11-16";4;"2020-10-08";0;"2020-10-08"
12;"Lorelei";"HB3";10;10;"Hackl-Buch";"Lara Schmeling";"DE0950963120";38;5;2015;3;24.7;346;"no";"no";5930;6.8;"2019-12-24";"2021-02-19";3;"2020-10-08";0;"2020-10-08"
13;"Udine";"KW1";3;7;"Kirchweihdach";"Lara Schmeling";"DE0947746933";752;6;2012;3;24.7;401;"no";"no";7505;11.9;"2018-02-21";"";2.5;"";0;""
14;"Urmina";"KW1";5;3;"Kirchweihdach";"Lara Schmeling";"DE0948755802";782;5;2013;3;25.6;329;"yes";"no";5347;8.4;"2017-12-17";"";3.75;"";1;""
15;"Hanna";"KW1";2;5;"Kirchweihdach";"Lara Schmeling";"DE0947746944";759;6;2012;4;25;332;"no";"no";7132;11.1;"2018-01-25";"2019-01-16";3;"";0;""
16;"Ursula";"KW1";8;8;"Kirchweihdach";"Lara Schmeling";"DE0948755840";790;4;2014;2;26.5;401;"no";"no";6811;6.1;"2018-01-29";"2019-01-16";3;"";0;""
17;"Urea";"KW1";6;6;"Kirchweihdach";"Lara Schmeling";"DE0948755796";781;5;2013;3;25.9;319;"yes";"no";4882;8.2;"2017-12-11";"";2.75;"";0;""
18;"Utalia";"KW1";4;1;"Kirchweihdach";"Lara Schmeling";"DE0948755808";784;5;2013;3;26.4;328;"partially";"yes";5230;8.8;"2018-02-26";"";3.5;"2019-03-06";0;"2019-03-06"
19;"Lilith";"KW1";1;10;"Kirchweihdach";"Lara Schmeling";"DE0948755810";775;5;2013;3;23.6;353;"partially";"no";6338;10.6;"2018-01-22";"2019-01-18";3.25;"";0;""
20;"Lotta";"HB2";6;6;"Hackl-Buch";"Lara Schmeling";"DE0950963105";34;3;2015;2;26.6;356;"no";"no";7998;7.2;"2018-11-09";"";3.5;"";0;""
72;"Raspe";"KK1";1;1;"Kraiburg-Kaindl";"Lara Schmeling";"DE0946937819";296;7;2012;5;23.8;327;"no";"no";8695;23.8;"";"";3;"2020-08-03";0;"2020-08-03"
22;"Flamme";"HB2";12;12;"Hackl-Buch";"Lara Schmeling";"DE0945822282";371;8;2011;6;28.6;431;"no";"no";8638;16;"2019-03-02";"";3;"";0;""
